,largeur mm,hauteur mm,longueur m,cubage,prix pièce,,prix m3 72mm,,fournisseur,Nom,Référence,Catégorie,Essence
LC,110,360,6,"0,2376","166,32 €",,700,,LCCO,110x360mm 6m Lamellés,L110X360/6m,LAMELLES,Lamellés
LC,110,360,7,"0,2772","194,04 €",,700,,LCCO,110x360mm 7m Lamellés,L110X360/7m,LAMELLES,Lamellés
LC,110,360,8,"0,3168","221,76 €",,700,,LCCO,110x360mm 8m Lamellés,L110X360/8m,LAMELLES,Lamellés
LC,110,360,9,"0,3564","249,48 €",,700,,LCCO,110x360mm 9m Lamellés,L110X360/9m,LAMELLES,Lamellés
LC,110,360,10,"0,396","277,20 €",,700,,LCCO,110x360mm 10m Lamellés,L110X360/10m,LAMELLES,Lamellés
LC,110,360,11,"0,4356","304,92 €",,700,,LCCO,110x360mm 11m Lamellés,L110X360/11m,LAMELLES,Lamellés
LC,110,360,12,"0,4752","332,64 €",,700,,LCCO,110x360mm 12m Lamellés,L110X360/12m,LAMELLES,Lamellés
LC,110,360,13,"0,5148","360,36 €",,700,,LCCO,110x360mm 13m Lamellés,L110X360/13m,LAMELLES,Lamellés
LC,110,405,2,"0,0891","62,37 €",,700,,LCCO,110x405mm 2m Lamellés,L110X405/2m,LAMELLES,Lamellés
LC,110,405,3,"0,13365","93,56 €",,700,,LCCO,110x405mm 3m Lamellés,L110X405/3m,LAMELLES,Lamellés
LC,110,405,4,"0,1782","124,74 €",,700,,LCCO,110x405mm 4m Lamellés,L110X405/4m,LAMELLES,Lamellés
LC,110,405,5,"0,22275","155,93 €",,700,,LCCO,110x405mm 5m Lamellés,L110X405/5m,LAMELLES,Lamellés
LC,110,405,6,"0,2673","187,11 €",,700,,LCCO,110x405mm 6m Lamellés,L110X405/6m,LAMELLES,Lamellés
LC,110,405,7,"0,31185","218,30 €",,700,,LCCO,110x405mm 7m Lamellés,L110X405/7m,LAMELLES,Lamellés
LC,110,405,8,"0,3564","249,48 €",,700,,LCCO,110x405mm 8m Lamellés,L110X405/8m,LAMELLES,Lamellés
LC,110,405,9,"0,40095","280,67 €",,700,,LCCO,110x405mm 9m Lamellés,L110X405/9m,LAMELLES,Lamellés
LC,110,405,10,"0,4455","311,85 €",,700,,LCCO,110x405mm 10m Lamellés,L110X405/10m,LAMELLES,Lamellés
LC,110,405,11,"0,49005","343,04 €",,700,,LCCO,110x405mm 11m Lamellés,L110X405/11m,LAMELLES,Lamellés
LC,110,405,12,"0,5346","374,22 €",,700,,LCCO,110x405mm 12m Lamellés,L110X405/12m,LAMELLES,Lamellés
LC,110,405,13,"0,57915","405,41 €",,700,,LCCO,110x405mm 13m Lamellés,L110X405/13m,LAMELLES,Lamellés
LC,110,450,2,"0,099","69,30 €",,700,,LCCO,110x450mm 2m Lamellés,L110X450/2m,LAMELLES,Lamellés
LC,110,450,3,"0,1485","103,95 €",,700,,LCCO,110x450mm 3m Lamellés,L110X450/3m,LAMELLES,Lamellés
LC,110,450,4,"0,198","138,60 €",,700,,LCCO,110x450mm 4m Lamellés,L110X450/4m,LAMELLES,Lamellés
LC,110,450,5,"0,2475","173,25 €",,700,,LCCO,110x450mm 5m Lamellés,L110X450/5m,LAMELLES,Lamellés
LC,110,450,6,"0,297","207,90 €",,700,,LCCO,110x450mm 6m Lamellés,L110X450/6m,LAMELLES,Lamellés
